Name,URL,J,M,T
Mabel Abraham,https://business.columbia.edu/faculty/people/mabel-abraham,1,1,1
Eric Abrahamson,https://business.columbia.edu/faculty/people/eric-abrahamson,0,0,0
Modupe Akinola,https://business.columbia.edu/faculty/people/modupe-akinola,1,1,1
Daniel Ames,https://business.columbia.edu/faculty/people/daniel-ames,1,1,1
Joel Brockner,https://business.columbia.edu/faculty/people/joel-brockner,1,1,1
Derek Brown,https://business.columbia.edu/faculty/people/derek-brown,0,0,0
Vanessa Burbano,https://business.columbia.edu/faculty/people/vanessa-burbano,1,1,1
Bo Cowgill,https://business.columbia.edu/faculty/people/bo-cowgill,0,0,0
Shai Davidai,https://business.columbia.edu/faculty/people/shai-davidai,0,0,0
Meyer Feldberg,https://business.columbia.edu/faculty/people/meyer-feldberg,,,
Adam Galinsky,https://business.columbia.edu/faculty/people/adam-galinsky,1,1,1
Jorge Guzman,https://business.columbia.edu/faculty/people/jorge-guzman,0,0,0
Kathryn Harrigan,https://business.columbia.edu/faculty/people/kathryn-harrigan,0,0,0
E. Tory Higgins,https://business.columbia.edu/faculty/people/e-tory-higgins,1,1,1
Raymond Horton,https://business.columbia.edu/faculty/people/raymond-horton,1,1,1
Paul Ingram,https://business.columbia.edu/faculty/people/paul-ingram,0,0,0
Sheena Iyengar,https://business.columbia.edu/faculty/people/sheena-iyengar,1,1,1
Daniel Keum,https://business.columbia.edu/faculty/people/daniel-keum,,,
Soomi Kim,https://business.columbia.edu/faculty/people/soomi-kim,1,1,1
Bruce Kogut,https://business.columbia.edu/faculty/people/bruce-kogut,1,0,0
Malia Mason,https://business.columbia.edu/faculty/people/malia-mason,1,1,1
Sandra Matz,https://business.columbia.edu/faculty/people/sandra-matz,0,0,0
Michael Mauskapf,https://business.columbia.edu/faculty/people/michael-mauskapf,1,1,1
Stephan Meier,https://business.columbia.edu/faculty/people/stephan-meier,1,1,1
Michael Morris,https://business.columbia.edu/faculty/people/michael-morris,1,1,1
Rebecca Ponce de Leon,https://business.columbia.edu/faculty/people/rebecca-ponce-de-leon,1,1,1
Michael Slepian,https://business.columbia.edu/faculty/people/michael-slepian,1,1,1
Adina D. Sterling,https://business.columbia.edu/faculty/people/adina-d-sterling,1,1,1
Dan Wang,https://business.columbia.edu/faculty/people/dan-wang,1,1,1
Nataliya L. Wright,https://business.columbia.edu/faculty/people/nataliya-l-wright,0,1,0
Lori Yue,https://business.columbia.edu/faculty/people/lori-yue,1,1,1
Santiago Balseiro,https://business.columbia.edu/faculty/people/santiago-balseiro,0,0,0
Omar Besbes,https://business.columbia.edu/faculty/people/omar-besbes,1,1,1
Mark Broadie,https://business.columbia.edu/faculty/people/mark-broadie,1,1,1
