Name,Title,Department,URL,Rank,University
Mabel Abraham,Barbara and Meyer Feldberg Associate Professor of Business,Management Division,https://business.columbia.edu/faculty/people/mabel-abraham,Associate,Columbia
Eric Abrahamson,Hughie E. Mills Professor of Business,Management Division,https://business.columbia.edu/faculty/people/eric-abrahamson,Full,Columbia
Modupe Akinola,Barbara and David Zalaznick Professor of Business,Management Division,https://business.columbia.edu/faculty/people/modupe-akinola,Full,Columbia
Daniel Ames,Ting Tsung and Wei Fong Chao Professor of Business,Management Division,https://business.columbia.edu/faculty/people/daniel-ames,Full,Columbia
Joel Brockner,Phillip Hettleman Professor of Business,Management Division,https://business.columbia.edu/faculty/people/joel-brockner,Full,Columbia
Derek Brown,Assistant Professor of Business,Management Division,https://business.columbia.edu/faculty/people/derek-brown,Assistant,Columbia
Vanessa Burbano,Sidney Taurel Associate Professor of Business,Management Division,https://business.columbia.edu/faculty/people/vanessa-burbano,Associate,Columbia
Bo Cowgill,Assistant Professor,Management Division,https://business.columbia.edu/faculty/people/bo-cowgill,Assistant,Columbia
Shai Davidai,Assistant Professor of Business,Management Division,https://business.columbia.edu/faculty/people/shai-davidai,Assistant,Columbia
Meyer Feldberg,Dean Emeritus,Dean's Office,https://business.columbia.edu/faculty/people/meyer-feldberg,Emeritus,Columbia
Adam Galinsky,Paul Calello Professor of Leadership and Ethics,Management Division,https://business.columbia.edu/faculty/people/adam-galinsky,Full,Columbia
Jorge Guzman,Gantcher Associate Professor of Business,Management Division,https://business.columbia.edu/faculty/people/jorge-guzman,Associate,Columbia
Kathryn Harrigan,Henry R. Kravis Professor of Business Leadership,Management Division,https://business.columbia.edu/faculty/people/kathryn-harrigan,Full,Columbia
E. Tory Higgins,Professor of Business,Management Division,https://business.columbia.edu/faculty/people/e-tory-higgins,Full,Columbia
Raymond Horton,Frank R. Lautenberg Professor Emeritus of Ethics and Corporate Governance,Management Division,https://business.columbia.edu/faculty/people/raymond-horton,Emeritus,Columbia
Paul Ingram,Kravis Professor of Business,Management Division,https://business.columbia.edu/faculty/people/paul-ingram,Full,Columbia
Sheena Iyengar,S. T. Lee Professor of Business,Management Division,https://business.columbia.edu/faculty/people/sheena-iyengar,Full,Columbia
Daniel Keum,Associate Professor of Business,Management Division,https://business.columbia.edu/faculty/people/daniel-keum,Associate,Columbia
Soomi Kim,Assistant Professor of Business,Management Division,https://business.columbia.edu/faculty/people/soomi-kim,Assistant,Columbia
Bruce Kogut,Sanford C. Bernstein & Co. Professor of Leadership and Ethics,Management Division,https://business.columbia.edu/faculty/people/bruce-kogut,Full,Columbia
Malia Mason,Courtney C. Brown Professor of Business,Management Division,https://business.columbia.edu/faculty/people/malia-mason,Full,Columbia
Sandra Matz,David W. Zalaznick Associate Professor of Business,Management Division,https://business.columbia.edu/faculty/people/sandra-matz,Associate,Columbia
Michael Mauskapf,Assistant Professor of Business,Management Division,https://business.columbia.edu/faculty/people/michael-mauskapf,Assistant,Columbia
Stephan Meier,James P. Gorman Professor of Business; Chair of Management Division,Management Division,https://business.columbia.edu/faculty/people/stephan-meier,Full,Columbia
Michael Morris,Chavkin-Chang Professor of Leadership,Management Division,https://business.columbia.edu/faculty/people/michael-morris,Full,Columbia
Rebecca Ponce de Leon,Assistant Professor of Business,Management Division,https://business.columbia.edu/faculty/people/rebecca-ponce-de-leon,Assistant,Columbia
Michael Slepian,Associate Professor of Business,Management Division,https://business.columbia.edu/faculty/people/michael-slepian,Associate,Columbia
Adina D. Sterling,Katherine W. Phillips Associate Professor of Business,Management Division,https://business.columbia.edu/faculty/people/adina-d-sterling,Associate,Columbia
Dan Wang,Lambert Family Associate Professor of Social Enterprise in the Faculty of Business,Management Division,https://business.columbia.edu/faculty/people/dan-wang,Associate,Columbia
Nataliya L. Wright,Assistant Professor of Business,Management Division,https://business.columbia.edu/faculty/people/nataliya-l-wright,Assistant,Columbia
Lori Yue,Associate Professor of Business,Management Division,https://business.columbia.edu/faculty/people/lori-yue,Associate,Columbia
Santiago Balseiro,Associate Professor of Business,"Decision, Risk, and Operations Division",https://business.columbia.edu/faculty/people/santiago-balseiro,Associate,Columbia
Omar Besbes,Vikram S. Pandit Professor of Business,"Decision, Risk, and Operations Division",https://business.columbia.edu/faculty/people/omar-besbes,Full,Columbia
Mark Broadie,Carson Family Professor of Business,"Decision, Risk, and Operations Division",https://business.columbia.edu/faculty/people/mark-broadie,Full,Columbia
Carri Chan,John A. Howard Professor of Business,"Decision, Risk, and Operations Division",https://business.columbia.edu/faculty/people/carri-chan,Full,Columbia
Jing Dong,Regina Pitaro Associate Professor of Business,"Decision, Risk, and Operations Division",https://business.columbia.edu/faculty/people/jing-dong,Associate,Columbia
