University,Name,Department,Rank,Sex,Title,Pronouns,URL,Face,Smile
Cornell,Sanjeev Bhojraj,accounting,Full,Male,"Alumni Professor in Asset Management
Faculty Co-Director of the Parker Center for Investment Research","['he', 'his', 'he', 'he', 'he', 'he', 'his']",https://business.cornell.edu/faculty-research/faculty/sb235/,1,0
Cornell,Robert J. Bloomfield,accounting,Full,Male,"Nicholas H. Noyes Professor of Management
Area Chair for Accounting
Co-Editor, Journal of Financial Reporting",['he'],https://business.cornell.edu/faculty-research/faculty/rjb9/,1,1
Cornell,Nicholas Guest,accounting,Assistant,Male,Assistant Professor,"['his', 'he']",https://business.cornell.edu/faculty-research/faculty/nmg75/,1,1
Cornell,Ryan Guggenmos,accounting,Assistant,Male,Assistant Professor,"['his', 'he', 'his', 'he', 'his', 'his', 'his', 'he', 'his']",https://business.cornell.edu/faculty-research/faculty/rdg222/,1,1
Cornell,Robert Libby,accounting,Full,Male,David A. Thomas Professor of Management,"['his', 'his', 'his', 'his', 'his', 'he', 'he', 'he']",https://business.cornell.edu/faculty-research/faculty/rl54/,1,1
Cornell,Yao Lu,accounting,Assistant,Male,Assistant Professor,"['his', 'he', 'he', 'his', 'his', 'he']",https://business.cornell.edu/faculty-research/faculty/yl2269/,1,1
Cornell,Asis Martinez-Jerez,accounting,Associate,Male,Associate Professor,[],https://business.cornell.edu/faculty-research/faculty/fm447/,1,1
Cornell,Mark W. Nelson (on leave),accounting,Full,Male,"Professor of Accounting
S.C. Johnson Family Professor of Management","['he', 'his', 'his', 'he', 'he', 'his', 'he', 'he']",https://business.cornell.edu/faculty-research/faculty/mwn2/,1,1
Cornell,Michael Paz,accounting,Assistant,Male,Assistant Professor,"['his', 'his', 'his', 'he', 'he', 'his', 'he', 'his', 'his', 'his']",https://business.cornell.edu/faculty-research/faculty/mtp58/,0,1
Cornell,Kristina Marie Rennekamp,accounting,Full,Female,Professor,"['her', 'she', 'she', 'her', 'she', 'her', 'she']",https://business.cornell.edu/faculty-research/faculty/kmr52/,1,0
Cornell,Mani Sethuraman,accounting,Assistant,Male,Assistant Professor,"['his', 'he', 'he', 'his', 'he']",https://business.cornell.edu/faculty-research/faculty/ss3647/,1,1
Cornell,Emma Wang,accounting,Assistant,Female,Assistant Professor,"['her', 'her', 'her', 'she', 'her', 'her', 'she', 'her', 'her']",https://business.cornell.edu/faculty-research/faculty/yw2652/,1,1
Cornell,Brian White,accounting,Associate,Male,"Associate Professor
Editor, Contemporary Accounting Research","['his', 'his', 'he', 'his', 'he']",https://business.cornell.edu/faculty-research/faculty/bjw235/,1,0
Cornell,P. Eric Yeung,accounting,Full,Male,"Professor
Faculty Director of the Cornell-Tsinghua Finance MBA",['his'],https://business.cornell.edu/faculty-research/faculty/pey4/,1,1
Cornell,Xinyu Zhang,accounting,Assistant,Female,Assistant Professor,"['her', 'her', 'she']",https://business.cornell.edu/faculty-research/faculty/xz687/,1,1
Cornell,Luo Zuo (on leave),accounting,Full,Male,"Professor
Faculty Lead of the Cornell-HKUST Partnership
Editor, The Accounting Review","['his', 'he', 'he', 'he', 'he', 'he', 'his', 'his', 'his', 'his']",https://business.cornell.edu/faculty-research/faculty/lz352/,1,1
Cornell,Aaron Adalja,applied-economics-and-policy,Assistant,Male,Assistant Professor,"['he', 'his', 'his']",https://business.cornell.edu/faculty-research/faculty/aaa362/,1,0
Cornell,Christopher B. Barrett,applied-economics-and-policy,Full,Male,"Stephen B. and Janice G. Ashley Professor of Applied Economics and Management
Co-Editor-in-Chief, Food Policy","['he', 'he']",https://business.cornell.edu/faculty-research/faculty/cbb2/,1,1
Cornell,Kaushik Basu,applied-economics-and-policy,Full,Male,Professor,[],https://business.cornell.edu/faculty-research/faculty/kb40/,1,1
Cornell,Arnab Basu,applied-economics-and-policy,Full,Male,Professor,"['his', 'his', 'he', 'he']",https://business.cornell.edu/faculty-research/faculty/ab362/,0,1
Cornell,Garrick Blalock (on leave),applied-economics-and-policy,Associate,Male,Associate Professor,['his'],https://business.cornell.edu/faculty-research/faculty/gb78/,1,1
Cornell,Vicki Bogan (on leave),applied-economics-and-policy,Full,Female,"Professor
Director, Institute for Behavioral and Household Finance",['she'],https://business.cornell.edu/faculty-research/faculty/vlb23/,1,1
Cornell,Nancy H. Chau,applied-economics-and-policy,Full,Female,Professor,['she'],https://business.cornell.edu/faculty-research/faculty/hyc3/,1,0
Cornell,Ralph Dean Christy,applied-economics-and-policy,Full,Male,Professor,"['he', 'he', 'he', 'his']",https://business.cornell.edu/faculty-research/faculty/rdc6/,1,1
Cornell,Mark A. Constas (on sabbatical),applied-economics-and-policy,Full,Male,Professor,"['he', 'his', 'he', 'he', 'he', 'his', 'his']",https://business.cornell.edu/faculty-research/faculty/mac223/,0,1
Cornell,Dragana Cvijanovic,applied-economics-and-policy,Associate,Female,Associate Professor,[],https://business.cornell.edu/faculty-research/faculty/dc998/,1,1
Cornell,Brian Dillon,applied-economics-and-policy,Assistant,Male,Assistant Professor,"['he', 'he', 'his']",https://business.cornell.edu/faculty-research/faculty/bmd28/,1,1
Cornell,Sean Flynn,applied-economics-and-policy,Assistant,Male,Assistant Professor,[],https://business.cornell.edu/faculty-research/faculty/sjf236/,1,0
Cornell,Todd Gerarden,applied-economics-and-policy,Assistant,Unknown,Assistant Professor,[],https://business.cornell.edu/faculty-research/faculty/tdg48/,1,1
Cornell,Miguel Gómez,applied-economics-and-policy,Full,Male,"Robert G. Tobin Professor of Food Marketing
Academic Director, Cornell Food Industry Management Program
Area Chair for Applied Economics and Policy","['he', 'he', 'his', 'his', 'he', 'his', 'his', 'his', 'his', 'he', 'he']",https://business.cornell.edu/faculty-research/faculty/mig7/,1,0
Cornell,John Hoddinott,applied-economics-and-policy,Full,Male,H.E. Babcock Professor of Food & Nutrition Economics and Policy,[],https://business.cornell.edu/faculty-research/faculty/jfh246/,1,1
Cornell,David Just,applied-economics-and-policy,Full,Male,"Susan Eckert Lynch Professor in Science and Business
Director of the Graduate Studies Program","['his', 'he']",https://business.cornell.edu/faculty-research/faculty/drj3/,1,1
Cornell,Harry M. Kaiser,applied-economics-and-policy,Full,Male,Gellert Family Professor of Applied Economics and Management,['he'],https://business.cornell.edu/faculty-research/faculty/hmk2/,1,1
Cornell,Ravi Kanbur,applied-economics-and-policy,Full,Male,T.H. Lee Professor of World Affairs,"['he', 'his', 'he', 'he', 'he']",https://business.cornell.edu/faculty-research/faculty/sk145/,1,0
Cornell,Catherine Louise Kling,applied-economics-and-policy,Full,Female,"Tisch University Professor
David R. Atkinson Center for a Sustainable Future, Faculty Director","['she', 'she', 'she', 'she', 'her', 'she', 'her', 'she', 'she']",https://business.cornell.edu/faculty-research/faculty/clk228/,1,1
Cornell,Wayne A. Knoblauch,applied-economics-and-policy,Full,Male,"Professor
Director, Dairy Farm Business Summary Program","['his', 'his', 'he', 'he', 'he', 'he', 'his', 'he', 'his']",https://business.cornell.edu/faculty-research/faculty/wak4/,0,1
Cornell,Steven Kyle,applied-economics-and-policy,Associate,Male,Associate Professor,"['he', 'he']",https://business.cornell.edu/faculty-research/faculty/sck5/,1,1
Cornell,Lauri Kytomaa,applied-economics-and-policy,Assistant,Male,Assistant Professor,[],https://business.cornell.edu/faculty-research/faculty/lvk7/,1,1
Cornell,Shanjun Li (on leave),applied-economics-and-policy,Full,Male,"Kenneth L. Robinson Professor of Applied Economics and Public Policy
Faculty Director of the Cornell Institute for China Economic Research (CICER)
Editor-in-Chief, Journal of the Association of Environmental and Resource Economists","['he', 'he', 'his']",https://business.cornell.edu/faculty-research/faculty/sl2448/,1,1
Cornell,C.-Y. Cynthia Lin Lawell,applied-economics-and-policy,Associate,Female,Associate Professor,[],https://business.cornell.edu/faculty-research/faculty/cl2447/,1,1
Cornell,Crocker H. Liu,applied-economics-and-policy,Full,Male,Robert A. Beck Professor of Hospitality Financial Management,"['he', 'he', 'he', 'his', 'he', 'he', 'he', 'he', 'he', 'he', 'his']",https://business.cornell.edu/faculty-research/faculty/chl62/,1,1
Cornell,Peng (Peter) Liu,applied-economics-and-policy,Full,Male,"Professor
Director of Peking Graduate Studies
Singapore Tourism Board Distinguished Professor in Asian Hospitality Management
Editor, Journal of Real Estate Portfolio Management","['he', 'he', 'his', 'his', 'he', 'he']",https://business.cornell.edu/faculty-research/faculty/pl333/,1,0
Cornell,Aleksandr Michuda,applied-economics-and-policy,Assistant,Male,Assistant Research Professor,[],https://business.cornell.edu/faculty-research/faculty/am2497/,1,0
Cornell,Ariel Ortiz-Bobea (on leave),applied-economics-and-policy,Associate,Male,Associate Professor,['his'],https://business.cornell.edu/faculty-research/faculty/ao332/,1,0
Cornell,Prabhu Pingali,applied-economics-and-policy,Full,Male,Professor,"['he', 'he', 'he', 'he']",https://business.cornell.edu/faculty-research/faculty/plp39/,1,1
Cornell,Eswar Prasad (on leave),applied-economics-and-policy,Full,Male,Nandlal P. Tolani Senior Professor of International Trade Policy,"['he', 'he', 'he', 'his', 'his', 'his', 'he', 'his', 'he', 'he']",https://business.cornell.edu/faculty-research/faculty/esp54/,1,1
Cornell,Daniel Quan,applied-economics-and-policy,Full,Male,Robert C. Baker Professor in Real Estate,"['he', 'his', 'his', 'he', 'he', 'he', 'his', 'he', 'his']",https://business.cornell.edu/faculty-research/faculty/dq22/,1,1
Cornell,Bradley Rickard,applied-economics-and-policy,Full,Male,"Professor
Co-Editor, Journal of Wine Economics","['his', 'his', 'he']",https://business.cornell.edu/faculty-research/faculty/bjr83/,1,1
Cornell,Stuart Rosenthal,applied-economics-and-policy,Full,Male,"Professor
Chair of the Paul Rubacha Department of Real Estate
Co-Managing Editor, Journal of Urban Economics","['he', 'he', 'his', 'he', 'he']",https://business.cornell.edu/faculty-research/faculty/sr784/,1,0
Cornell,Ivan Rudik (on leave),applied-economics-and-policy,Associate,Male,Associate Professor,[],https://business.cornell.edu/faculty-research/faculty/ir229/,1,1
Cornell,Todd M. Schmit,applied-economics-and-policy,Full,Male,"Professor
Faculty Director, Agribusiness and Rural Development Program
Faculty Director, Cooperative Enterprise Program","['his', 'he', 'he', 'his', 'his', 'he', 'his', 'his', 'his', 'his', 'his']",https://business.cornell.edu/faculty-research/faculty/tms1/,1,0
Cornell,Heather Schofield,applied-economics-and-policy,Assistant,Female,Assistant Professor,[],https://business.cornell.edu/faculty-research/faculty/hws44/,1,1
Cornell,Alexei Tchistyi,applied-economics-and-policy,Associate,Male,Associate Professor,"['his', 'he', 'he', 'his']",https://business.cornell.edu/faculty-research/faculty/avt33/,1,0
Cornell,Calum Turvey,applied-economics-and-policy,Full,Male,"W.I. Myers Professor of Agricultural Finance
Director, MS Program for the Charles H. Dyson School of Applied Economics and Management","['he', 'his', 'he', 'he', 'he', 'his', 'he']",https://business.cornell.edu/faculty-research/faculty/cgt6/,1,1
Cornell,Christopher A. Wolf,applied-economics-and-policy,Full,Male,"E. V. Baker Professor of Agricultural Economics
Director of Land Grant Affairs",[],https://business.cornell.edu/faculty-research/faculty/caw364/,1,0
Cornell,Wendong Zhang,applied-economics-and-policy,Assistant,Male,Assistant Professor,"['his', 'his', 'his', 'he', 'he', 'he']",https://business.cornell.edu/faculty-research/faculty/wz384/,1,1
Cornell,Jinhua Zhao,applied-economics-and-policy,Full,Male,"Professor
David J. Nolan Dean of the Charles H. Dyson School of Applied Economics and Management","['he', 'he', 'he', 'he', 'he', 'his', 'his']",https://business.cornell.edu/faculty-research/faculty/jz638/,1,1
Cornell,Harry de Gorter,applied-economics-and-policy,Full,Male,Professor,"['his', 'his', 'he', 'he']",https://business.cornell.edu/faculty-research/faculty/hd15/,1,1
Cornell,Jawad M. Addoum,finance,Associate,Male,Associate Professor,"['his', 'he', 'his', 'he', 'he', 'he']",https://business.cornell.edu/faculty-research/faculty/jma369/,1,1
Cornell,Warren B. Bailey,finance,Full,Male,"Professor
Co-Editor, Journal of Financial Services Research
Krause Faculty Fellow in Real Estate Management, SC Johnson College of Business","['he', 'he', 'he', 'he']",https://business.cornell.edu/faculty-research/faculty/wbb1/,1,1
Cornell,Matthew Baron,finance,Assistant,Male,Assistant Professor,"['his', 'he', 'he', 'his', 'his', 'he']",https://business.cornell.edu/faculty-research/faculty/mdb327/,1,1
