Department,Name,URL,Title,Biography,Rank,University,Pronouns,Sex
accounting,Sanjeev Bhojraj,https://business.cornell.edu/faculty-research/faculty/sb235/,"Alumni Professor in Asset Management
Faculty Co-Director of the Parker Center for Investment Research","Professor Sanjeev Bhojraj is the Alumni Professor in Asset Management and the Faculty Co-Director of the Parker Center for Investment Research. He has been a part of the faculty of the Cornell Johnson Graduate School of Management since 1999 and served as the sole designated manager of the Cayuga Fund from 2005-2014. His research interests are in the areas of behavioral finance, corporate governance, discretionary disclosure of information by firms, and international accounting and valuation. He has taught courses in applied portfolio management, financial analysis, and financial accounting. Professor Bhojraj is an award-winning instructor and has received several teaching awards from the MBA and Executive MBA classes, most recently the 2023 Apple Award for Teaching Excellence. He was featured as Cornell's highest rated professor in The Wall Street Journal's ""Special Report"" on executive MBA programs. He also received outstanding faculty recognition in BusinessWeek's ""Guide to The Best Business Schools."" Professor Bhojraj is certified as a chartered accountant and a cost accountant. He worked in India and Indonesia before earning his doctorate.",Full,Cornell,"['he', 'his', 'he', 'he', 'he', 'he', 'his']",Male
accounting,Robert J. Bloomfield,https://business.cornell.edu/faculty-research/faculty/rjb9/,"Nicholas H. Noyes Professor of Management
Area Chair for Accounting
Co-Editor, Journal of Financial Reporting","Since coming to the Johnson Graduate School of Management in 1991, Prof. Robert Bloomfield has used laboratory experiments to study financial markets and investor behavior, and has also published in all major business disciplines, including finance, accounting, marketing, organization behavior, and operations research. Prof. Bloomfield served as director of the Financial Accounting Standards Research Initiative (FASRI), an activity of the Financial Accounting Standards Board, and is currently an editor of an a special issue of Journal of Accounting Research dedicated to Registered Reports of Empirical Research. Prof. Bloomfield has recently taken on editorship of Journal of Financial Reporting, which is pioneering an innovative editorial processes intended to broaden the range of research methods used in Accounting, improving the quality of research execution, and encouraging honest reporting of findings.As the Johnson School's Faculty Director of eLearning, Prof. Bloomfield oversees the development of online courses and helps faculty make best use of technology in traditional courses. He is the author of the award-winning eBook, What Counts and What Gets Counted, which can be downloaded for free online, and has used the book as the basis for online courses offered through eCornell, as well as award-winning teaching in Johnson's Executive MBA programs.",Full,Cornell,['he'],Male
accounting,Nicholas Guest,https://business.cornell.edu/faculty-research/faculty/nmg75/,Assistant Professor,"Professor Nicholas Guest is an assistant professor of accounting at the Johnson Graduate School of Management. His research focuses on the market for public firms' financial data, especially earnings and textual disclosure.

He has two main streams of research. One examines the characteristics of the earnings, other accounting data, and text provided in firms' disclosures. The other focuses on the users of those disclosures, especially active equity investors and financial journalists. This work has been published in various academic journals, including The Accounting Review, Journal of Accounting Research, Management Science, Review of Accounting Studies, and Financial Management, and has been covered by top media outlets, including The Wall Street Journal, MarketWatch, and Yahoo Finance.",Assistant,Cornell,"['his', 'he']",Male
accounting,Ryan Guggenmos,https://business.cornell.edu/faculty-research/faculty/rdg222/,Assistant Professor,"Professor Ryan Guggenmos is an Assistant Professor of Accounting at the Johnson Graduate School of Management. His studies examine how biases in human behavior affect decision processes in accounting contexts. He also conducts research that addresses research design and statistical analysis issues faced by experimental accounting researchers. 
Professor Guggenmos has published his research in top accounting journals, such as The Accounting Review, Contemporary Accounting Research, and the Journal of Accounting Research. Ryan teaches managerial accounting in the MBA program.

He has been recognized for both his research and teaching, receiving two Research Advisory Board grants from the Center for Audit Quality and the 2020 Class of 1992 Apple Award for Excellence in Teaching. Guggenmos earned his Ph.D. from the University of Massachusetts Amherst and his BA from Seattle University. Guggenmos is a Certified Public Accountant, and he worked as an auditor with Deloitte and Touche, LLP prior to his doctoral studies.",Assistant,Cornell,"['his', 'he', 'his', 'he', 'his', 'his', 'his', 'he', 'his']",Male
accounting,Robert Libby,https://business.cornell.edu/faculty-research/faculty/rl54/,David A. Thomas Professor of Management,"Professor Robert Libby is David A. Thomas Professor of Management and professor of accounting at the Johnson Graduate School of Management. His primary teaching interests are in financial accounting, financial statement analysis, and behavioral decision theory. His research centers on the interplay among managers' financial reporting decisions, financial analysts' forecasts, and auditors' assurance strategies. Most of his work is conducted within frameworks developed in the psychology of human judgment and decision making. His book Accounting and Human Information Processing: Theory and Applications received the AAA/AICPA Notable Contribution to the Literature Award in 1985. His article ""Determinants of Judgment Performance in Accounting"" (with Joan Luft, PhD 1992), won the same award in 1996. He received the American Accounting Association Outstanding Educator Award and the AAA/ABO Lifetime Scholarly Achievement Award in Behavioral Accounting, both in 2000, and the American Accounting Association Distinguished Service Award in 2006. He is a former co-editor of The Accounting Review and Accounting Organizations and Society and currently serves on several editorial boards. He is also the author of the best selling texts Financial Accounting (with Pat Libby and Dan Short Frank Hodge) and Fundamentals of Financial Accounting (with Pat Libby, Shana Clor-Proell, and Fred Phillips).",Full,Cornell,"['his', 'his', 'his', 'his', 'his', 'he', 'he', 'he']",Male
accounting,Yao Lu,https://business.cornell.edu/faculty-research/faculty/yl2269/,Assistant Professor,"Professor Yao Lu studies financial disclosure and reporting, with a focus on financial institution and capital market settings. Some of his recent work investigates the effect of liquidity disclosure regulation on banks’ liquidity holdings, the predictability of banks’ long-term loan losses, and the information content of management guidance. He is also interested in the role of accounting in corporate sustainability. He received his PhD in accounting from the University of Chicago. Prior to his PhD studies, he worked for Goldman Sachs as an equity research analyst in Hong Kong.",Assistant,Cornell,"['his', 'he', 'he', 'his', 'his', 'he']",Male
accounting,Asis Martinez-Jerez,https://business.cornell.edu/faculty-research/faculty/fm447/,Associate Professor,,Associate,Cornell,[],Male
accounting,Mark W. Nelson (on leave),https://business.cornell.edu/faculty-research/faculty/mwn2/,"Professor of Accounting
S.C. Johnson Family Professor of Management","Mark W. Nelson is the SC Johnson Family Professor of Management and Professor of Accounting at the Samuel Curtis Johnson Graduate School of Management in the Cornell SC Johnson College of Business. He received his BBA degree from Iowa State University and his MA and PhD degrees from The Ohio State University.Professor Nelson’s teaching focuses on intermediate financial accounting and financial reporting, as well as judgment and decision-making in accounting. He has received twelve teaching awards at Cornell and Ohio State, including the American Accounting Association’s inaugural Cook Prize for graduate teaching excellence. He is a coauthor (with Spiceland, Thomas and Winchel) of Intermediate Accounting.His research examines psychological and economic factors that influence how people make decisions with financial information; interpret and apply accounting, auditing, and tax regulations; and trade in financial markets. It has been published widely in accounting and psychology and acknowledged with the AAA's Notable Contribution to Accounting Literature Award, the AAA’s Wildman Medal, AJPT’s inaugural Best Paper Award, and the Johnson School's Faculty Research Award.Professor Nelson’s service to Cornell has been extensive. From 2016 to 2023 he served as the Johnson School’s Anne and Elmer Lindseth Dean, and was responsible for the Johnson School’s three residential MBA programs, four Executive MBA programs, and three MPS programs, and strategic partnerships with Queens University, Tsinghua University, Weill Cornell Medicine, and Cornell Tech. He also served on the leadership team of the Cornell SC Johnson College of Business and had responsibilities relevant to the overall activities of the college as well as to various research centers and institutes. From 2007-2010 Professor Nelson served as the Johnson School’s Associate Dean for Academic Affairs, overseeing the faculty and research activities of the Johnson School.Professor Nelson’s external service includes three terms as an editor of the Accounting Review and four years on the FASB’s Financial Accounting Standards Advisory Council.",Full,Cornell,"['he', 'his', 'his', 'he', 'he', 'his', 'he', 'he']",Male
accounting,Michael Paz,https://business.cornell.edu/faculty-research/faculty/mtp58/,Assistant Professor,"Michael Paz is an assistant professor of accounting at Cornell's School of Hotel Administration. His research interests include managerial accounting topics, with a special interest in managerial control and financial incentives. His current research focuses on issues related to cost management, compensation contracts, and performance feedback. His research has been published in the Journal of Management Accounting Research and Advances in Accounting Behavioral Research.Professor Paz was selected as a participant in the Michael J. Cook Doctoral Consortium during the spring of 2013. He has given presentations and held discussions at conferences, such as the American Accounting Association (AAA) Annual meetings and AAA Managerial Accounting Section midyear meetings. He was also recognized as a KPMG Minority Doctoral Fellow from 2010 through 2015.Prior to his academic career, Professor Paz worked in bank operations and underwriting for Bank of America and GE Corporation. He received his BA in music from Rhode Island College, his master's degree in accounting from the University of Rhode Island, and his PhD in accounting from Drexel University.",Assistant,Cornell,"['his', 'his', 'his', 'he', 'he', 'his', 'he', 'his', 'his', 'his']",Male
accounting,Kristina Marie Rennekamp,https://business.cornell.edu/faculty-research/faculty/kmr52/,Professor,"Kristina Rennekamp is a Professor of Accounting at the Samuel Curtis Johnson Graduate School of Management. Her research examines financial accounting from a behavioral perspective, and particularly how biases affect managers' disclosure decisions and users' judgments with respect to those disclosures. She has taught financial accounting in the one- and two-year residential MBA programs in Ithaca, and in Cornell's Executive MBA of the Americas. She is the recipient of numerous awards. Her research has been published in leading journals, including the Journal of Accounting and Economics, The Accounting Review, Accounting, Organizations and Society, Contemporary Accounting Research, Foundations and Trends in Accounting Research, the Journal of Accounting Research, the Journal of Financial Reporting, and the Review of Accounting Studies. She received her MS and PhD from the Samuel Curtis Johnson Graduate School of Management at Cornell University. Prior to joining Johnson at Cornell, she was a faculty member at the University of Illinois at Urbana-Champaign.",Full,Cornell,"['her', 'she', 'she', 'her', 'she', 'her', 'she']",Female
