University,Name,Department,Rank,Sex,Title,Pronouns,URL,Face,Smile
Dartmouth,Leslie A. Robinson,accounting,Full,Female,Professor of Business Administration,"['her', 'she']",https://www.tuck.dartmouth.edu/faculty/faculty-directory/leslie-a-robinson,1,1
Dartmouth,Richard C. Sansing,accounting,Full,Male,Noble Foundation Professor of Accounting,"['his', 'he']",https://www.tuck.dartmouth.edu/faculty/faculty-directory/richard-c-sansing,1,1
Dartmouth,Phillip C. Stocken,accounting,Full,Male,"Jack Byrne Professor of Accounting; Area Chair, Accounting",['he'],https://www.tuck.dartmouth.edu/faculty/faculty-directory/phillip-c-stocken,1,1
Dartmouth,Andrew B. Bernard,economics,Full,Male,Kadas T'90 Distinguished Professor,"['his', 'he']",https://www.tuck.dartmouth.edu/faculty/faculty-directory/andrew-b-bernard,1,1
Dartmouth,Emily J. Blanchard,economics,Associate,Female,Associate Professor of Business Administration,"['her', 'she']",https://www.tuck.dartmouth.edu/faculty/faculty-directory/emily-j-blanchard,1,1
Dartmouth,Davin Chor,economics,Associate,Male,Associate Professor and Globalization Chair; Harvey H. Bundy III T’68 Faculty Fellow,[],https://www.tuck.dartmouth.edu/faculty/faculty-directory/davin-chor,1,1
Dartmouth,Teresa Fort,economics,Associate,Female,Associate Professor of Business Administration,['her'],https://www.tuck.dartmouth.edu/faculty/faculty-directory/teresa-fort,1,1
Dartmouth,Robert G. Hansen,economics,Full,Male,Norman W. Martin 1925 Professor of Business Administration,['he'],https://www.tuck.dartmouth.edu/faculty/faculty-directory/robert-g-hansen,1,1
Dartmouth,Erin Mansur,economics,Full,Male,"Revers Professor of Business Administration; Faculty Director, Revers Center for Energy; Area Chair, Economics",['he'],https://www.tuck.dartmouth.edu/faculty/faculty-directory/erin-mansur,1,1
Dartmouth,Felix Montag,economics,Assistant,Male,Assistant Professor of Business Administration,"['his', 'he']",https://www.tuck.dartmouth.edu/faculty/faculty-directory/felix-montag,1,1
Dartmouth,Matthew J. Slaughter,economics,Full,Male,The Paul Danos Dean of the Tuck School; The Earl C. Daum 1924 Professor of International Business,['he'],https://www.tuck.dartmouth.edu/faculty/faculty-directory/matthew-slaughter,1,1
Dartmouth,B. Espen Eckbo,finance,Full,Male,"Tuck Centennial Professor of Finance; Founder, Lindenauer Forum for Corporate Governance",['he'],https://www.tuck.dartmouth.edu/faculty/faculty-directory/b-espen-eckbo,1,1
