University,Name,Department,Rank,Sex,Title,Pronouns,URL,Face,Smile
Cornell,Sanjeev Bhojraj,accounting,Full,Male,"Alumni Professor in Asset Management
Faculty Co-Director of the Parker Center for Investment Research","['he', 'his', 'he', 'he', 'he', 'he', 'his']",https://www.johnson.cornell.edu/faculty-research/faculty/sb235/,1,0
Cornell,Robert J. Bloomfield,accounting,Full,Male,"Nicholas H. Noyes Professor of Management
Area Chair for Accounting
Co-Editor, Journal of Financial Reporting",['he'],https://www.johnson.cornell.edu/faculty-research/faculty/rjb9/,1,1
Cornell,Nicholas Matthew Guest,accounting,Assistant,Male,Assistant Professor,"['his', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/nmg75/,1,1
Cornell,Ryan Guggenmos,accounting,Assistant,Male,Assistant Professor,"['his', 'he', 'his', 'he', 'his', 'his', 'his', 'he', 'his']",https://www.johnson.cornell.edu/faculty-research/faculty/rdg222/,1,1
Cornell,Robert Libby,accounting,Full,Male,David A. Thomas Professor of Management,"['his', 'his', 'his', 'his', 'his', 'he', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/rl54/,1,1
Cornell,Yao Lu,accounting,Assistant,Male,Assistant Professor,"['his', 'he', 'he', 'his', 'his', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/yl2269/,1,1
Cornell,Mark W. Nelson,accounting,Full,Male,"Professor of Accounting
S.C. Johnson Family Professor of Management","['he', 'his', 'his', 'he', 'he', 'his', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/mwn2/,1,1
Cornell,Kristina Marie Rennekamp,accounting,Full,Female,Professor,"['her', 'she', 'she', 'her', 'she', 'her', 'she']",https://www.johnson.cornell.edu/faculty-research/faculty/kmr52/,1,0
Cornell,Mani Sethuraman,accounting,Assistant,Male,Assistant Professor,"['his', 'he', 'he', 'his', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/ss3647/,1,1
Cornell,P. Eric Yeung,accounting,Full,Male,"Professor
Faculty Director of the Cornell-Tsinghua Finance MBA",['his'],https://www.johnson.cornell.edu/faculty-research/faculty/pey4/,1,0
Cornell,Xinyu Zhang,accounting,Assistant,Female,Assistant Professor,"['her', 'her', 'she']",https://www.johnson.cornell.edu/faculty-research/faculty/xz687/,1,1
Cornell,Warren B. Bailey,finance,Full,Male,"Professor
Co-Editor, Journal of Financial Services Research
Krause Faculty Fellow in Real Estate Management, SC Johnson College of Business","['he', 'he', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/wbb1/,1,1
Cornell,Matthew Baron,finance,Assistant,Male,Assistant Professor,"['his', 'he', 'he', 'his', 'his', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/mdb327/,1,1
Cornell,Murillo Campello,finance,Full,Male,"Lewis H. Durland Professor of Management
Managing Editor, Journal of Financial Intermediation","['his', 'he', 'he', 'his', 'his', 'he', 'he', 'his']",https://www.johnson.cornell.edu/faculty-research/faculty/mnc35/,1,1
Cornell,Will Cong,finance,Associate,Male,"Associate Professor of Finance
Rudd Family Professor of Management
Academic Director of Fintech at Cornell Initiative
Department Editor, Management Science","['he', 'he', 'his', 'he', 'his', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/lc898/,1,0
Cornell,Adrian Aycan Corum,finance,Assistant,Male,Assistant Professor,"['he', 'his', 'his', 'he', 'his', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/aac256/,1,1
Cornell,Ming Huang,finance,Full,Male,Professor,"['he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/mh375/,1,1
Cornell,Robert A. Jarrow,finance,Full,Male,"Ronald P. & Susan E. Lynch Professor of Investment Management
IAFE Senior Fellow, International Association of Financial Engineers","['he', 'he', 'he', 'his', 'he', 'his', 'he', 'he', 'he', 'he', 'his', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/raj15/,1,1
