University,Name,Department,Rank,Sex,Title,Pronouns,URL,Face,Smile
Harvard,Rawi E. Abdelal,"Business, Government and the International Economy",Full,Male,"Herbert F. Johnson Professor of International ManagementEmma Bloomberg Co-chair, Bloomberg Harvard City Leadership Initiative","['his', 'his', 'he', 'he', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6628,1,1
Harvard,Juan Alcacer,Strategy,Full,Male,James J. Hill Professor of Business Administration,"['he', 'he', 'his', 'his', 'his', 'he', 'he', 'his', 'he', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=178197,1,0
Harvard,Laura Alfaro,General Management,Full,Female,Warren Alpert Professor of Business Administration,"['she', 'she', 'she', 'she', 'she', 'her', 'she', 'she', 'she', 'she', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6629,1,1
Harvard,Livia Alfonsi,"Negotiation, Organizations & Markets",Assistant,Female,Assistant Professor of Business Administration,['she'],https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1494418,1,1
Harvard,Teresa M. Amabile,Entrepreneurial Management,Emeritus,Female,"Baker Foundation ProfessorEdsel Bryant Ford Professor of Business Administration, Emerita","['her', 'her', 'her', 'she', 'her', 'she', 'she', 'her', 'she', 'she', 'her', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6409,1,1
Harvard,Tomomichi Amano,Marketing,Assistant,Male,Assistant Professor of Business Administration,"['he', 'he', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=938509,1,1
Harvard,Bharat N. Anand,Strategy,Full,Male,Henry R. Byers Professor of Business Administration,"['his', 'his', 'he', 'his', 'he', 'his', 'his', 'his', 'he', 'he', 'he', 'he', 'his', 'he', 'he', 'his', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6410,1,1
Harvard,Samuel B. Antill,Finance,Assistant,Male,Assistant Professor of Business Administration,"['he', 'his', 'he', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1284277,1,1
Harvard,Lynda M. Applegate,Entrepreneurial Management,Emeritus,Female,"Baker Foundation ProfessorSarofim-Rock Professor of Business Administration, Emerita","['she', 'she', 'her', 'she', 'she', 'she', 'her', 'she', 'her', 'her', 'she', 'her', 'she', 'her', 'she', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6411,1,1
Harvard,Eva Ascarza,Marketing,Associate,Female,Jakurski Family Associate Professor of Business Administration,"['she', 'she', 'her', 'she', 'her', 'she', 'her', 'her', 'she', 'she', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=548988,1,1
Harvard,Joseph L. Badaracco,General Management,Full,Male,John Shad Professor of Business Ethics,"['he', 'he', 'he', 'he', 'he', 'his', 'his']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6415,1,1
Harvard,Brian K. Baik,Accounting and Management,Assistant,Male,Assistant Professor of Business Administration,"['he', 'his', 'he', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1145752,1,1
Harvard,Malcolm P. Baker,Finance,Full,Male,Robert G. Kirby Professor of Business Administration,"['he', 'his', 'his', 'his', 'he', 'he', 'he', 'he', 'he', 'his', 'he', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=10639,1,1
Harvard,Julie Battilana,Organizational Behavior,Full,Female,Joseph C. Wilson Professor of Business Administration,"['she', 'she', 'she', 'her', 'she', 'her', 'she', 'her', 'she', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=382192,1,1
Harvard,Max H. Bazerman,"Negotiation, Organizations & Markets",Full,Male,Jesse Isidor Straus Professor of Business Administration,[],https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6420,1,1
Harvard,Anke Becker,Entrepreneurial Management,Assistant,Female,Assistant Professor of Business Administration,"['her', 'her', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1205278,1,1
Harvard,David E. Bell,Marketing,Emeritus,Male,"Baker Foundation ProfessorGeorge M. Moffett Professor of Agriculture and Business, Emeritus","['he', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6422,1,0
Harvard,Ethan S. Bernstein,Organizational Behavior,Associate,Male,Edward W. Conard Associate Professor of Business Administration,"['he', 'he', 'he', 'his', 'he', 'his', 'he', 'he', 'he', 'he', 'his']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=17441,1,1
Harvard,Shai Benjamin Bernstein,Entrepreneurial Management,Full,Male,MBA Class of 1960 Professor of Business Administration,"['his', 'he', 'his']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=423089,1,1
