University,Name,Department,Rank,Sex,Title,Pronouns,URL,Face,Smile,prof_text,sentiment,positive,negative,neutral
Columbia,Ann Bartel,Economics Division,Full,Female,Merrill Lynch Professor of Workforce Transformation,['she'],https://business.columbia.edu/faculty/people/ann-bartel,1,0,"Professor Bartel is the Merrill Lynch Professor of Workforce Transformation at Columbia Business School and the Director of Columbia Business School's Workforce Transformation Initiative. She is an expert in the fields of labor economics and human resource management and has published numerous articles on employee training, human capital investments, job mobility, and the impact of technological change on productivity, worker skills, and outsourcing decisions. Bartel received the 1992 Margaret Chandler Award for Commitment to Excellence in teaching. She teaches Managerial Negotiations and Economics of Organizational Strategy. Bartel is a research associate at the National Bureau of Economic Research and the recipient of numerous research grants. She has also served as a consultant for many companies on strategic human resource management issues and has directed executive education programs for talented women executives who are positioning themselves for career advancement.",0.9371,0.104,0.0,0.896
Columbia,Laura Boudreau,Economics Division,Assistant,Female,Assistant Professor of Business,"['she', 'her']",https://business.columbia.edu/faculty/people/laura-boudreau,1,1,"Laura Boudreau is an Assistant Director at Columbia Business School.  Laura received her Ph.D. from the University of California, Berkeley. Her research focuses on working conditions, labor market institutions, and firm productivity in developing countries. She is especially interested in how the intersection of global supply chains with local institutions affect firms’ and workers’ outcomes.",0.4576,0.053,0.0,0.947
Columbia,Wouter Dessein,Economics Division,Full,Male,Eli Ginzberg Professor of Finance and Economics,"['he', 'his']",https://business.columbia.edu/faculty/people/wouter-dessein,1,0,"Wouter Dessein is the Eli Ginzberg Professor of Finance and Economics at Columbia Business School. He served as chair of the Economics division from 2017 until 2021 and as the Editor-in-Chief of the Journal of Law, Economics and Organization from 2013 until 2019. He is also an Associate Editor of the American Economic Journal: Microeconomics. Dessein's research interests center on the economics of organizations: the allocation of decision-rights in organizations, the organizational structure of multi-divisional firms, the role of managers in setting firm strategy, and the impact of corporate leaders on the long-term performance of firms. His research has been published in leading journals such as the American Economic Review, the Journal of Political Economy, the Review of Economic Studies, and the Journal of Finance. At Columbia, he teaches a popular elective on the `Economics of Strategic Behavior', a course which examines the underlying economics of successful business strategy. Prior to joining the Columbia Business School faculty in July 2008, Dessein was an assistant and associate professor of economics at the University of Chicago, Graduate School of Business, where he taught Competitive Strategy and Organizational Strategy. Dessein earned a Bachelor in management and applied sciences from the Katholieke Universiteit Leuven, Belgium, in 1997, and a Ph.D. in economics from Toulouse University and the Universite Libre de Bruxelles, in 2000.",0.8519,0.046,0.0,0.954
Columbia,Laura Doval,Economics Division,Associate,Female,Daniel W. Stanton Associate Professor of Business,"['she', 'her']",https://business.columbia.edu/faculty/people/laura-doval,1,1,"Laura Doval is the Daniel W. Stanton Associate Professor of Business in the Economics Division at Columbia Business School. She is a microeconomic theorist working in the areas of mechanism design, market design, and information economics. Her work has been published in Econometrica and the Journal of Political Economy.Professor Doval is also a Research Affiliate at the Centre for Economic Policy Research (CEPR) (Industrial Organization), and an Associate Editor at Theoretical Economics, the Journal of the European Economic Association, and Economic Theory.Professor Doval received her Ph.D. from Northwestern in 2016. In 2021, she was elected as a Fellow of the Society for the Advancement of Economic Theory.",0.0,0.0,0.0,1.0
Columbia,Frank Lichtenberg,Economics Division,Full,Male,Cain Brothers & Company Professor of Healthcare Management in the Faculty of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/frank-lichtenberg,1,0,"Frank R. Lichtenberg is Cain Brothers & Company Professor of Healthcare Management in the Faculty of Business Economics at the Columbia University Graduate School of Business; a Research Associate of the National Bureau of Economic Research; and a member of the CESifo Research Network. He received a BA with Honors in History from the University of Chicago and an MA and PhD in Economics from the University of Pennsylvania.
Mr. Lichtenberg previously taught at Harvard University, the University of Pennsylvania, and Ecole Polytechnique. He has served as an expert for the Federal Trade Commission, the U.S. Dept. of Justice, and state Attorneys General, and has testified before Congress. He has worked for several U.S. government agencies, including the Department of Justice, the Congressional Budget Office, and the Census Bureau, and been a visiting scholar at the Wissenschaftszentrum Berlin, the University of Munich, and elsewhere.
Some of Professor Lichtenberg’s research has examined how the introduction of new technology arising from research and development affects the productivity of companies, industries and nations. He has performed studies of the impact of pharmaceutical innovation on longevity, the effect of computers on productivity in business and government organizations, and the consequences of takeovers and leveraged buyouts for efficiency and employment. His articles have been published in numerous scholarly journals and in the popular press. His book Corporate Takeovers and Productivity has been published by MIT Press.
He was awarded the 1998 Schumpeter Prize for his paper, Pharmaceutical Innovation as a Process of Creative Destruction; the 2003 Milken Institute Award for Distinguished Economic Research for the paper, Pharmaceutical Knowledge-Capital Accumulation and Longevity; and Research!America’s 2010 Garfield Economic Impact Award for the paper, The effect of new cancer drug approvals on the life expectancy of American cancer patients, 1978-2004. 
He has been awarded research fellowships, grants, and contracts by the National Science Foundation, the World Health Organization, the National Institute of Standards and Technology, Merck and Co., the Fulbright Commission, the Brookings Institution, the Alfred P. Sloan Foundation, The German Marshall Fund, the American Enterprise Institute, and other organizations. He has served as a consultant to private organizations and government agencies including the Securities Industry Association, Pfizer, Inc., the Community Preservation Corporation, the RAND Corporation, the New York City Water Board, Touche Ross and Co., The Walt Disney Company, McGraw-Hill, and the National Pharmaceutical Council. He is an affiliate of the economics consulting firm Analysis Group.",0.98,0.1,0.029,0.872
Columbia,Frederic Mishkin,Economics Division,Full,Male,Alfred Lerner Professor of Banking and Financial Institutions,"['he', 'his']",https://business.columbia.edu/faculty/people/frederic-mishkin,1,1,"Frederic S. Mishkin is the Alfred Lerner Professor of Banking and Financial Institutions at the Graduate School of Business, Columbia University. He is also a Research Associate at the National Bureau of Economic Research, and from September 2006 to August 2008 was a member (governor) of the Board of Governors of the Federal Reserve System. He has also been a Senior Fellow at the FDIC Center for Banking Research, and past President of the Eastern Economic Association. Since receiving his Ph.D. from the Massachusetts Institute of Technology in 1976, he has taught at the University of Chicago, Northwestern University, Princeton University and Columbia. He has also received an honorary professorship from the Peoples (Renmin) University of China. From 1994 to 1997 he was Executive Vice President and Director of Research at the Federal Reserve Bank of New York and an associate economist of the Federal Open Market Committee of the Federal Reserve System.
Professor Mishkin's research focuses on monetary policy and its impact on financial markets and the aggregate economy. He is the author of The Economics of Money, Banking and Financial Markets, 8th Edition (Addison Wesley Longman, 2007), the number one selling textbook in its field. In addition he is the author of more than fifteen other books, including Financial Markets and Institutions, 6th edition (Pearson, 2009), Monetary Policy Strategy (MIT Press, 2007), The Next Great Globalization: How Disadvantaged Nations Can Harness Their Financial Systems to Get Rich (Princeton University Press, 2006), Inflation Targeting: Lessons from the International Experience (Princeton University Press, 1999), Money, Interest Rates, and Inflation (Edward Elgar, 1993),A Rational Expectations Approach to Macroeconometrics:Testing Policy Ineffectiveness and Efficient Markets Models (University of Chicago Press, 1983), and has published over one hundred and fifty articles in professional journals and books.
Professor Mishkin has served on the editorial board of the American Economic Review,has been an associate editor at the Journal of Business and Economic Statistics, Journal of Applied Econometrics, and the Journal of Economic Perspectives, and was the editor of the Federal Reserve Bank of New York's, Economic Policy Review. He is currently an associate editor (member of the editorial board) at six academic journals, including the Journal of Money, Credit and Banking, Macroeconomics and Monetary Economics Abstracts, Journal of International Money and Finance, International Finance, Finance India, and Economic Policy Review. He has been a consultant to the Board of Governors of the Federal Reserve System, the World Bank, the Inter-American Development Bank and the International Monetary Fund, as well as to numerous central banks throughout the world. He was also a member of the International Advisory Board to the Financial Supervisory Service of South Korea and an advisor to the Institute for Monetary and Economic Research at the Bank of Korea.",0.9423,0.046,0.011,0.943
Columbia,Christian Moser,Economics Division,Assistant,Male,Assistant Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/christian-moser,1,0,"Christian is an Assistant Professor within the Finance and Economics Division at Columbia Business School. His research focuses on macroeconomics and labor economics, with additional interests in public economics. The common theme behind his research is to understand the determinants of earnings inequality and the role redistributive policies. Before joining Columbia, Christian received a Ph.D. in Economics from Princeton University where he was named a Fellow of Woodrow Wilson Scholars and was awarded the Towbes Prize for Outstanding Teaching. He has attracted external research grants from the Centre for Economic Policy Research and the Department for International Development as well as the Ewing Marion Kauffman Foundation.",0.9501,0.16,0.0,0.84
Columbia,Cristóbal Otero,Economics Division,Assistant,Male,Assistant Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/cristobal-otero-ruiz-tagle,1,1,"Cristóbal Otero is an Assistant Professor of Economics at Columbia Business School. He holds a PhD in Economics from UC Berkeley and an MSc in Political Philosophy from LSE. His areas of interest are public finance, labor economics, and organizational economics, and his current research focuses on how to improve government productivity in the delivery of public goods and services.",0.7096,0.092,0.0,0.908
Columbia,Jacopo Perego,Economics Division,Associate,Male,Class of 1967 Associate Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/jacopo-perego,1,1,"Jacopo Perego is a Class of 1967 Associate Professor of Business in the Economics Division at Columbia Business School. His research specializes in the economics of information, the analysis of how economic agents strategically acquire, use, and share information. His work primarily focuses on topics such as the optimal design of information policies, the competitive provision of information, and strategic communication. Prior to joining Columbia, he was a Postdoctoral Associate at the Cowles Foundation, Yale University. Professor Perego received his PhD in Economics from New York University.",0.6597,0.071,0.0,0.929
Columbia,Tommaso Porzio,Economics Division,Associate,Male,Associate Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/tommaso-porzio,1,1,"Tommaso Porzio is an associate professor (untenured) of macroeconomics in the Economics Division at Columbia Business School. His research primarily studies the role of human capital for growth and economic development with a focus on understanding the barriers that may prevent individuals from exploiting their talent. His work has been published in the American Economic Review, Econometrica, and the Journal of Political Economy. 
Professor Porzio is also a faculty research fellow at NBER and an affiliate at BREAD, CEPR, and Y-RISE.  Prior to joining Columbia, he was an assistant professor at the University of California, San Diego.
Professor Porzio received his Ph.D. in Economics from Yale University and his Master and Bachelor degrees in Economics, Social Sciences, and Management from Bocconi University.",0.3818,0.051,0.023,0.926
