University,Name,Department,Rank,Sex,Title,Pronouns,URL,Face,Smile
UPENN,Matthew Bloomfield,accounting,Assistant,Male,"Matthew Bloomfield, Assistant Professor of Accounting","['his', 'his']",https://accounting.wharton.upenn.edu/profile/mjbloom,1,0
UPENN,Jennifer Blouin,accounting,Full,Female,"Jennifer Blouin, Richard B. Worley Professor of Financial Management, Professor of Accounting","['she', 'she', 'her', 'her']",https://accounting.wharton.upenn.edu/profile/blouin,1,1
UPENN,Brian Bushee,accounting,Full,Male,"Brian Bushee, The Geoffrey T. Boisi Professor,  Senior Vice Dean of Teaching and Learning","['his', 'his', 'he', 'he', 'he', 'he', 'he', 'he', 'his']",https://accounting.wharton.upenn.edu/profile/bushee,1,1
UPENN,Carolyn Deller,accounting,Assistant,Female,"Carolyn Deller, Assistant Professor of Accounting","['her', 'her', 'she', 'she', 'she']",https://accounting.wharton.upenn.edu/profile/cdeller,1,1
UPENN,Paul Fischer,accounting,Full,Male,"Paul Fischer, Samuel R. Harrell Professor","['his', 'his', 'his', 'he', 'he']",https://accounting.wharton.upenn.edu/profile/pef,1,1
UPENN,Wayne Guay,accounting,Full,Male,"Wayne Guay, Yageo Professor, Professor of Accounting","['his', 'his', 'he', 'he', 'his', 'he']",https://accounting.wharton.upenn.edu/profile/guay,1,1
UPENN,Luzi Hail,accounting,Full,Male,"Luzi Hail, Stephen J. Heyman Professor, Professor of Accounting","['he', 'his', 'his', 'he', 'his', 'he', 'he']",https://accounting.wharton.upenn.edu/profile/lhail,1,0
UPENN,Mirko S. Heinle,accounting,Associate,Male,"Mirko S. Heinle, Associate Professor of Accounting","['he', 'his']",https://accounting.wharton.upenn.edu/profile/miheinle,1,0
UPENN,Robert W. Holthausen,accounting,Full,Male,"Robert W. Holthausen, The Nomura Securities Co. Professor, Full Professor in Wharton Accounting, Professor of Finance","['he', 'he', 'his', 'he', 'his', 'his', 'he', 'he', 'his', 'his', 'he', 'he', 'his', 'his', 'he', 'he', 'he', 'his']",https://accounting.wharton.upenn.edu/profile/holthaus,1,1
UPENN,Christopher D. Ittner,accounting,Full,Male,"Christopher D. Ittner, EY Professor of Accounting, Chairperson, Accounting Department","['his', 'he', 'his', 'he', 'he', 'his', 'his']",https://accounting.wharton.upenn.edu/profile/ittner,1,0
UPENN,Richard A. Lambert,accounting,Full,Male,"Richard A. Lambert, Miller-Sherrerd Professor, Professor of Accounting","['he', 'his', 'he', 'he', 'he', 'he']",https://accounting.wharton.upenn.edu/profile/lambertr,1,1
UPENN,Allison Nicoletti,accounting,Assistant,Female,"Allison Nicoletti, Assistant Professor of Accounting",['she'],https://accounting.wharton.upenn.edu/profile/anico,1,0
UPENN,Sandra Schafhäutle,accounting,Assistant,Female,"Sandra Schafhäutle, Assistant Professor of Accounting","['she', 'she', 'her', 'her', 'she']",https://accounting.wharton.upenn.edu/profile/schaf,1,0
UPENN,Catherine M. Schrand,accounting,Full,Female,"Catherine M. Schrand, Celia Z. Moh Professor, Professor of Accounting","['her', 'she', 'she', 'she', 'she', 'her', 'her', 'she', 'her', 'her', 'she']",https://accounting.wharton.upenn.edu/profile/schrand,1,1
UPENN,Carol Seregni,accounting,Assistant,Female,"Carol Seregni, Assistant Professor of Accounting","['she', 'her', 'she']",https://accounting.wharton.upenn.edu/profile/cseregni,1,0
UPENN,Daniel Taylor,accounting,Full,Male,"Daniel Taylor, Professor of Accounting","['he', 'he', 'his', 'his', 'his', 'he', 'he', 'his', 'his', 'he', 'his', 'his', 'his']",https://accounting.wharton.upenn.edu/profile/dtayl,1,1
UPENN,Frank Zhou,accounting,Assistant,Male,"Frank Zhou, Assistant Professor of Accounting","['his', 'his', 'he']",https://accounting.wharton.upenn.edu/profile/szho,1,0
UPENN,Christina Zhu,accounting,Assistant,Female,"Christina Zhu, Harold C. Stott Assistant Professor, Assistant Professor of Accounting","['her', 'her', 'she', 'her', 'her', 'her', 'she']",https://accounting.wharton.upenn.edu/profile/chrzhu,1,0
UPENN,Eduardo Azevedo,bepp,Full,Male,"Eduardo Azevedo, Professor of Business Economics and Public Policy, John M. Bendheim Professor, Thomas L. Bendheim Professor",['he'],https://bepp.wharton.upenn.edu/profile/eazevedo,1,1
UPENN,Arthur van Benthem,bepp,Associate,Male,"Arthur van Benthem, Associate Professor of Business Economics and Public Policy","['his', 'his', 'his', 'he', 'his', 'he', 'his', 'his', 'his', 'he', 'his']",https://bepp.wharton.upenn.edu/profile/arthurv,1,0
UPENN,Susanna B. Berkouwer,bepp,Assistant,Unknown,"Susanna B. Berkouwer, Assistant Professor of Business Economics and Public Policy",[],https://bepp.wharton.upenn.edu/profile/sberkou,1,1
UPENN,Ulrich Doraszelski,bepp,Full,Male,"Ulrich Doraszelski, Joseph J. Aresty Professor, Professor of Business Economics and Public Policy, Professor of Marketing, Professor of Economics","['he', 'he', 'his', 'he', 'he', 'he']",https://bepp.wharton.upenn.edu/profile/ulrichd,1,1
UPENN,Judd B. Kessler,bepp,Full,Male,"Judd B. Kessler, Howard Marks Professor","['his', 'his', 'he', 'he', 'his']",https://bepp.wharton.upenn.edu/profile/juddk,1,1
UPENN,Benjamin B. Lockwood,bepp,Assistant,Male,"Benjamin B. Lockwood, Clarence Nickman Assistant Professor of Business Economics and Public Policy","['his', 'he', 'his', 'his']",https://bepp.wharton.upenn.edu/profile/benlo,1,0
UPENN,Corinne Low,bepp,Associate,Female,"Corinne Low, Associate Professor of Business Economics and Public Policy","['her', 'her', 'her', 'she']",https://bepp.wharton.upenn.edu/profile/corlow,1,1
UPENN,Olivia S. Mitchell,bepp,Full,Female,"Olivia S. Mitchell, International Foundation of Employee Benefit Plans Professor, Professor of Business Economics and Public Policy, Professor of Insurance and Risk Management, Executive Director, Pension Research Council","['she', 'she', 'her', 'her', 'she', 'she', 'she', 'she', 'her', 'her', 'she', 'her', 'she', 'her', 'her']",https://bepp.wharton.upenn.edu/profile/mitchelo,1,0
UPENN,Aviv Nevo,bepp,Full,Male,"Aviv Nevo, George A. Weiss and Lydia Bravo Weiss University Professor , Professor of Business Economics and Public Policy, Professor of Economics, Professor of Marketing","['his', 'his', 'he']",https://bepp.wharton.upenn.edu/profile/anevo,1,1
UPENN,Kent Smetters,bepp,Full,Male,"Kent Smetters, Boettner Professor, Professor of Business Economics and Public Policy","['he', 'his', 'he', 'his', 'he', 'he', 'his']",https://bepp.wharton.upenn.edu/profile/smetters,1,1
UPENN,Juuso Toikka,bepp,Associate,Male,"Juuso Toikka, Associate Professor of Business Economics and Public Policy, Associate Professor of Economics","['his', 'his', 'his', 'he', 'he']",https://bepp.wharton.upenn.edu/profile/toikka,1,1
UPENN,Shing-Yi Wang,bepp,Associate,Female,"Shing-Yi Wang, Associate Professor of Business Economics and Public Policy","['she', 'she', 'her', 'her', 'she', 'she', 'she', 'her', 'she', 'her', 'she']",https://bepp.wharton.upenn.edu/profile/was,1,1
UPENN,Andrew B. Abel,fnce,Full,Male,"Andrew B. Abel, Ronald A. Rosenfeld Professor, Professor of Finance, Professor of Economics",[],https://fnce.wharton.upenn.edu/profile/abel,1,1
UPENN,Jules H. van Binsbergen,fnce,Full,Male,"Jules H. van Binsbergen, The Nippon Life Professor in Finance, Professor of Finance","['his', 'his', 'he', 'his', 'his', 'he', 'he', 'he']",https://fnce.wharton.upenn.edu/profile/julesv,1,1
UPENN,Gideon Bornstein,fnce,Assistant,Male,"Gideon Bornstein, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/gideonbo,1,1
UPENN,Sylvain Catherine,fnce,Assistant,Male,"Sylvain Catherine, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/scath,1,0
UPENN,Domenico Cuoco,fnce,Associate,Unknown,"Domenico Cuoco, Associate Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/cuoco,1,1
UPENN,William Diamond,fnce,Assistant,Male,"William Diamond, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/diamondw,1,1
UPENN,Winston Wei Dou,fnce,Assistant,Male,"Winston Wei Dou, Assistant Professor of Finance","['his', 'his', 'he', 'his', 'he', 'he', 'he', 'he', 'he']",https://fnce.wharton.upenn.edu/profile/wdou,1,1
UPENN,Itamar Drechsler,fnce,Full,Male,"Itamar Drechsler, Ervin Miller-Arthur M. Freedman Professor, Professor of Finance, Co-Director, Rodney L. White Center for Financial Research",[],https://fnce.wharton.upenn.edu/profile/idrechsl,1,1
UPENN,Daniel G. Garrett,fnce,Assistant,Male,"Daniel G. Garrett, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/danielgg,1,0
UPENN,Michael R. Gibbons,fnce,Full,Male,"Michael R. Gibbons, I.W. Burnham II Professor of Investment Banking",[],https://fnce.wharton.upenn.edu/profile/gibbons,1,0
UPENN,Vincent Glode,fnce,Full,Male,"Vincent Glode, Pasi M. Hamalainen Professor , Professor of Finance","['his', 'his', 'his', 'he', 'he', 'he']",https://fnce.wharton.upenn.edu/profile/vglode,1,1
UPENN,Itay Goldstein,fnce,Full,Male,"Itay Goldstein, Joel S. Ehrenkranz Family Professor, Professor of Finance, Professor of Economics, Chairperson, Finance Department",[],https://fnce.wharton.upenn.edu/profile/itayg,1,1
UPENN,Joao F. Gomes,fnce,Full,Male,"Joao F. Gomes, Howard Butcher III Professor of Finance;  Professor of Economics, Senior Vice Dean of Research, Centers, and Academic Initiatives","['his', 'his', 'he', 'he', 'he', 'his', 'he']",https://fnce.wharton.upenn.edu/profile/gomesj,1,1
UPENN,Marius Guenzel,fnce,Assistant,Male,"Marius Guenzel, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/mguenzel,1,1
UPENN,Bulent Gultekin,fnce,Associate,Male,"Bulent Gultekin, Associate Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/gultekin,1,1
UPENN,Richard J. Herring,fnce,Full,Male,"Richard J. Herring, Jacob Safra Professor of International Banking, Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/herring,1,1
UPENN,Amy Wang Huber,fnce,Assistant,Female,"Amy Wang Huber, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/amyhuber,1,1
UPENN,Sasha Indarte,fnce,Assistant,Female,"Sasha Indarte, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/aindarte,1,1
UPENN,Urban Jermann,fnce,Full,Male,"Urban Jermann, Safra Professor of International Finance and Capital Markets,  Professor of Economics, Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/jermann,1,1
UPENN,Lorena Keller,fnce,Assistant,Female,"Lorena Keller, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/lorenak,1,1
UPENN,Tim Landvoigt,fnce,Associate,Male,"Tim Landvoigt, Associate Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/timland,1,1
UPENN,Karen K. Lewis,fnce,Full,Female,"Karen K. Lewis, Joseph and Ida Sondheimer Professor in International Economics and Finance, Professor of Finance,  Professor of Economics",[],https://fnce.wharton.upenn.edu/profile/lewisk,1,1
UPENN,Lu Liu,fnce,Assistant,Female,"Lu Liu, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/lliu1,1,1
UPENN,A. Craig MacKinlay,fnce,Full,Male,"A. Craig MacKinlay, Joseph P. Wargrove Professor of Finance, Academic Director, Jacobs Levy Center",[],https://fnce.wharton.upenn.edu/profile/acmack,1,1
UPENN,David Musto,fnce,Full,Male,"David Musto, Ronald O. Perelman Professor in Finance, Director, Stevens Center for Innovation in Finance",[],https://fnce.wharton.upenn.edu/profile/musto,1,1
UPENN,Sean Myers,fnce,Assistant,Male,"Sean Myers, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/semyers,1,1
UPENN,Krishna Ramaswamy,fnce,Full,Male,"Krishna Ramaswamy, Edward Hopkinson, Jr. Professor of Investment Banking, Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/krishna,1,1
UPENN,Michael Roberts,fnce,Full,Male,"Michael Roberts, William H. Lawrence Professor, Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/mrrobert,1,1
UPENN,Nikolai Roussanov,fnce,Full,Male,"Nikolai Roussanov, Moise Y. Safra Professor , Professor of Finance, Academic Advisor, MBA major in Quantitative Finance, Academic Director, ""Wharton on the Markets"" series",[],https://fnce.wharton.upenn.edu/profile/nroussan,1,0
UPENN,Sergio Salgado,fnce,Assistant,Male,"Sergio Salgado, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/ssalgado,1,1
UPENN,Nicholas S. Souleles,fnce,Full,Male,"Nicholas S. Souleles, Michael L. Tarnopol Professor, Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/souleles,1,1
UPENN,Robert F. Stambaugh,fnce,Full,Male,"Robert F. Stambaugh, Miller Anderson & Sherrerd Professor of Finance,  Professor of Economics","['he', 'he', 'his', 'he', 'he', 'his']",https://fnce.wharton.upenn.edu/profile/stambaug,1,1
UPENN,Huan Tang,fnce,Assistant,Female,"Huan Tang, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/huantang,1,1
UPENN,Luke Taylor,fnce,Full,Male,"Luke Taylor, John B. Neff Professor in Finance, Professor of Finance, Co-Director, Rodney L. White Center for Financial Research, Coordinator of Finance PhD Program",[],https://fnce.wharton.upenn.edu/profile/luket,1,1
UPENN,Jessica Wachter,fnce,Full,Female,"Jessica Wachter, Dr. Bruce I. Jacobs Professor in Quantitative Finance, Professor of Finance","['she', 'she', 'she', 'she', 'she', 'her', 'she']",https://fnce.wharton.upenn.edu/profile/jwachter,1,1
UPENN,Chaojun Wang,fnce,Assistant,Unknown,"Chaojun Wang, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/wangchj,1,1
UPENN,Thomas Winberry,fnce,Assistant,Male,"Thomas Winberry, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/twinb,1,1
UPENN,Bilge Yilmaz,fnce,Full,Male,"Bilge Yilmaz,  Wharton Private Equity Professor, Professor of Finance; Academic Director, Harris Family Alternative Investments Program",[],https://fnce.wharton.upenn.edu/profile/yilmaz,1,1
UPENN,Yao Zeng,fnce,Assistant,Male,"Yao Zeng, Assistant Professor of Finance",[],https://fnce.wharton.upenn.edu/profile/yaozeng,1,1
UPENN,Diane Alexander,hcmg,Assistant,Female,"Diane Alexander, Assistant Professor of Health Care Management","['her', 'she', 'her', 'she', 'she', 'she']",https://hcmg.wharton.upenn.edu/profile/dealexa,1,1
UPENN,Abby E. Alpert,hcmg,Assistant,Female,"Abby E. Alpert, Assistant Professor of Health Care Management, Dorinda and Mark Winkelman Distinguished Faculty Scholar","['she', 'her', 'her', 'she', 'her', 'she', 'she', 'she', 'her']",https://hcmg.wharton.upenn.edu/profile/alpertab,1,1
