University,Name,Department,Rank,Sex,Title,Pronouns,URL,Face,Smile
Yale,Jason Abaluck,Economics,Full,Male,Professor of Economics,['his'],https://som.yale.edu/faculty-research/faculty-directory/jason-abaluck,1,0
Yale,Laura Adler,Organizational Behavior,Assistant,Female,Assistant Professor of Organizational Behavior,"['her', 'she']",https://som.yale.edu/faculty-research/faculty-directory/laura-adler,1,1
Yale,Rick Antle,Accounting,Full,Male,William S. Beinecke Professor of Accounting,"['he', 'his', 'his', 'he', 'his', 'he', 'his']",https://som.yale.edu/faculty-research/faculty-directory/rick-antle,1,1
Yale,David Argente,Economics,Assistant,Male,Assistant Professor of Economics,"['he', 'his']",https://som.yale.edu/faculty-research/faculty-directory/david-argente,1,1
Yale,Nicholas C. Barberis,Finance,Full,Male,Stephen and Camille Schramm Professor of Finance,"['he', 'his']",https://som.yale.edu/faculty-research/faculty-directory/nicholas-c-barberis,1,1
Yale,James N. Baron,Management,Full,Male,William S. Beinecke Professor of Management,"['he', 'he', 'he', 'he', 'his']",https://som.yale.edu/faculty-research/faculty-directory/james-n-baron,1,0
Yale,Barbara Biasi,Economics,Assistant,Female,Assistant Professor of Economics,"['her', 'her']",https://som.yale.edu/faculty-research/faculty-directory/barbara-biasi,1,1
Yale,Tristan L. Botelho,Organizational Behavior,Associate,Male,Associate Professor of Organizational Behavior,"['his', 'his', 'he', 'he', 'he', 'his', 'his']",https://som.yale.edu/faculty-research/faculty-directory/tristan-l-botelho,1,1
Yale,Alex Burnap,Marketing,Assistant,Male,Assistant Professor of Marketing,"['he', 'his', 'he', 'he', 'his']",https://som.yale.edu/faculty-research/faculty-directory/alex-burnap,1,1
Yale,Lorenzo Caliendo,Economics,Full,Male,"Won Park Hahn Professor of Global Affairs and Management; Professor of Economics; Deputy Dean, Jackson School of Global Affairs","['his', 'he', 'he', 'he', 'he']",https://som.yale.edu/faculty-research/faculty-directory/lorenzo-caliendo,1,1
Yale,Kerwin K. Charles,Economics,Full,Male,"Indra K. Nooyi Dean & Frederic D. Wolfe Professor of Economics, Policy & Management","['he', 'he', 'he', 'he', 'he']",https://som.yale.edu/faculty-research/faculty-directory/kerwin-k-charles,0,1
